ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
19,34,13,04-Jan-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
22,52,3,30-Oct-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
27,56,6,24-Nov-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
32,91,1,15-Jul-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
94,2,16,14-Mar-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
103,82,14,17-Nov-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
116,70,18,23-Jul-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
120,3,20,18-Aug-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
133,40,4,24-May-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
149,50,3,20-Dec-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
154,3,12,19-Dec-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
163,89,7,27-May-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
165,97,3,03-Jun-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
186,22,13,17-Feb-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
187,58,18,01-May-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
218,35,8,14-Sep-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
237,44,2,29-Sep-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
242,20,20,07-Jun-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
269,75,4,18-Nov-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
276,86,1,29-Jan-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
277,22,6,21-Mar-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
302,64,19,08-Oct-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
315,32,7,13-Jun-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
320,79,17,24-Feb-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
326,17,14,15-Jun-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
327,95,8,25-Aug-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
330,22,14,18-Mar-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
370,73,6,13-Apr-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
395,35,9,12-Apr-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
397,11,14,23-Apr-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
404,90,7,04-Jun-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
416,15,17,19-Apr-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
421,75,13,18-Aug-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
422,81,17,30-Sep-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
433,72,2,11-Jun-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
446,84,14,10-Jun-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
461,66,5,11-Oct-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
471,88,4,26-Apr-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
475,74,20,18-Apr-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
509,5,11,25-May-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
524,27,4,01-Sep-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
532,6,6,30-May-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
533,92,6,06-Apr-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
539,74,17,02-Dec-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
544,65,6,29-Oct-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
578,32,15,01-Aug-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
581,69,18,19-Mar-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
597,11,1,07-Sep-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
652,39,19,06-May-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
655,63,16,06-Apr-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
681,48,16,21-Mar-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
722,68,16,14-Oct-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
725,13,6,30-Sep-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
754,55,11,11-Jul-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
806,18,9,28-Aug-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
813,58,15,28-Mar-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
840,44,10,30-Jan-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
846,17,17,22-Apr-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
850,89,12,24-Jul-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
851,31,12,29-Nov-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
901,16,19,15-Feb-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
910,92,5,14-Jun-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
917,44,20,17-May-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
944,72,2,11-Aug-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
968,46,14,07-Aug-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
971,5,5,17-Dec-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
974,13,6,01-Mar-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1052,55,5,14-Aug-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1076,22,9,29-Oct-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1083,40,6,02-Apr-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1102,35,12,01-Feb-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1117,74,11,12-Sep-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1122,78,19,03-Dec-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1130,88,13,30-Dec-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1143,75,18,09-Aug-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1158,99,20,29-Jul-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1159,59,9,29-Jan-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1165,20,12,06-Feb-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1167,50,19,21-Aug-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1199,71,7,16-Sep-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1204,19,18,06-Nov-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1206,50,12,06-Jul-23,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1246,53,1,04-Aug-24,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1254,45,4,16-Feb-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1267,85,4,11-Jul-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1278,25,17,22-Jun-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1281,58,12,24-Sep-23,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1292,16,5,15-Mar-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1331,88,5,02-Jun-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1335,43,15,06-Mar-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1339,76,19,01-Nov-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1344,31,20,16-May-25,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1353,34,5,30-Jun-24,5,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
1356,14,15,18-Apr-25,4,The  quality  is  top-notch.,0,Positive,0.0 to 0.49
3,50,13,26-Jan-25,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
23,69,18,02-Jul-23,5,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
26,76,11,21-Aug-24,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
28,76,8,27-May-25,5,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
30,84,6,18-Mar-24,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
42,72,15,21-Mar-23,5,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
46,27,5,07-May-25,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
47,19,13,01-Jun-24,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
51,49,17,14-Apr-23,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
63,93,2,05-Jan-25,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
78,6,10,09-Dec-24,5,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
81,3,19,04-Sep-24,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
85,17,6,25-Oct-25,5,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
90,47,17,12-Nov-25,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
111,43,7,05-Nov-23,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
115,82,9,28-Sep-23,4,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
138,28,15,18-Jan-23,5,Five  stars  for  the  quick  delivery.,0,Positive,0.0 to 0.49
